t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
3,1,MS,roots,0.03322404,0.00000000,0.21796443,0.46134520,0.06222004,1.47777413,NA,0.00000000,0.00017410,NA,0.10259927,0.12766101,NA,NA,NA,0.07136547,1.14733684,NA,1.48982189,NA,1.31812075,NA,NA,13.54252440,NA,NA,0.00000000,-154.51267587,0.32156426,NA,NA,1.10659153,8.51193034,0.00009303,NA,0.03478121,21.07998160,NA,0.00000000,0.00121586,0.00000000,NA,NA,NA,138.54315053,3.33170672,0.30162575,NA,NA
3,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03702807,NA
4,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15076418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.55438221,NA,NA,NA,NA
4,1,MS,roots,0.03270152,0.00000000,0.14457593,0.34627268,0.04688527,1.48830814,NA,0.00000000,0.00017456,NA,0.10230930,0.12327839,NA,NA,NA,0.06904607,1.12929261,NA,1.48171065,NA,1.30991441,NA,NA,13.44257688,NA,NA,0.00000000,-70.05800633,0.31052490,NA,NA,0.97394249,8.51078747,0.00009156,NA,0.03487278,20.99413740,NA,0.00000000,0.00091632,0.00000000,NA,NA,NA,130.14122862,3.27930878,0.29463375,NA,NA
4,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03651843,NA
5,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.32209240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.57668791,NA,NA,NA,NA
5,1,MS,roots,0.03226322,0.00000000,0.06871349,0.17412170,0.02355071,1.49109725,NA,0.00000000,0.00017501,NA,0.10211850,0.11944860,NA,NA,NA,0.06744966,1.11415667,NA,1.47512613,NA,1.30311852,NA,NA,13.42482182,NA,NA,0.00000000,-21.97414546,0.30087809,NA,NA,0.92392420,8.53285333,0.00009034,NA,0.03496311,21.07122228,NA,0.00000000,0.00045908,0.00000000,NA,NA,NA,124.01463421,3.23535612,0.28901676,NA,NA
5,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03582057,NA
6,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36337909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.48938545,NA,NA,NA,NA
6,1,MS,roots,0.03190060,0.75712770,0.03870913,0.10071019,0.01358120,1.49078507,NA,0.00575638,0.00017546,NA,0.10198362,0.11607709,NA,NA,NA,0.06643677,1.10163393,NA,1.46942363,NA,1.29695312,NA,NA,13.43872732,NA,NA,0.14556990,3.78563851,0.29238561,NA,NA,0.90592910,8.56475825,0.00008932,NA,0.03505244,21.21274080,NA,0.00000000,0.00026376,0.00000000,NA,NA,NA,119.15550574,3.19899182,0.28449747,NA,NA
6,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03475605,NA
7,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29529206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.17828496,NA,NA,NA,NA
7,1,MS,roots,0.03158183,3.72095766,0.02244267,0.05758275,0.00773507,1.48876292,NA,0.02998799,0.00017590,NA,0.10186946,0.11292743,NA,NA,NA,0.06565420,1.09062572,NA,1.46408531,NA,1.29084264,NA,NA,13.49064064,NA,NA,0.70625755,18.60478829,0.28445196,NA,NA,0.92626060,8.60238579,0.00008843,NA,0.03514086,21.38914899,NA,0.00000000,0.00014956,0.00000000,NA,NA,NA,114.93190866,3.16702549,0.28045108,NA,NA
7,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03430121,NA
8,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23731163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.14088198,NA,NA,NA,NA
8,1,MS,roots,0.03127587,4.94206951,0.01595796,0.03972244,0.00531435,1.48620045,NA,0.04288877,0.00017634,NA,0.10175034,0.10986998,NA,NA,NA,0.06506691,1.08006018,NA,1.45873803,NA,1.28424564,NA,NA,13.55873271,NA,NA,0.93562656,24.71034753,0.27675057,NA,NA,0.96307680,8.64230264,0.00008757,NA,0.03522844,21.57555904,NA,0.00000000,0.00010228,0.00000000,NA,NA,NA,110.97527045,3.13634463,0.27668722,NA,NA
8,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03403542,NA
9,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.15047357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.47436054,NA,NA,NA,NA
9,1,MS,roots,0.03095807,6.30674870,0.01673956,0.04010021,0.00534532,1.48393693,NA,0.05931575,0.00017677,NA,0.10162798,0.10697592,NA,NA,NA,0.06456852,1.06908540,NA,1.45340753,NA,1.27710987,NA,NA,13.63562557,NA,NA,1.19003542,31.53374349,0.26946077,NA,NA,1.00901159,8.68204006,0.00008668,NA,0.03531512,21.75410500,NA,0.00000000,0.00010241,0.00000000,NA,NA,NA,107.28317662,3.10447539,0.27317242,NA,NA
9,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392529,NA
10,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04516060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.40051301,NA,NA,NA,NA
10,1,MS,roots,0.03063118,7.37431858,0.01763239,0.04046077,0.00537566,1.48195180,NA,0.07541657,0.00017720,NA,0.10150017,0.10421788,NA,NA,NA,0.06411637,1.05779671,NA,1.44806296,NA,1.26938281,NA,NA,13.71888825,NA,NA,1.38615572,36.87159291,0.26251356,NA,NA,1.06164308,8.72157396,0.00008577,NA,0.03540089,21.92521454,NA,0.00000000,0.00010252,0.00000000,NA,NA,NA,103.80867826,3.07169463,0.26983443,NA,NA
10,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392557,NA
11,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92314552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.51118381,NA,NA,NA,NA
11,1,MS,roots,0.03029332,8.01829267,0.01858566,0.04080989,0.00540605,1.48023047,NA,0.08919388,0.00017763,NA,0.10136147,0.10155159,NA,NA,NA,0.06368606,1.04612946,NA,1.44262762,NA,1.26092296,NA,NA,13.80530139,NA,NA,1.50429383,40.09146335,0.25579746,NA,NA,1.11776290,8.76087717,0.00008482,NA,0.03548571,22.08917734,NA,0.00000000,0.00010264,0.00000000,NA,NA,NA,100.48390730,3.03781455,0.26659913,NA,NA
11,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392582,NA
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.78861342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.80498072,NA,NA,NA,NA
12,1,MS,roots,0.02993886,8.27049570,0.01957349,0.04118713,0.00544166,1.47876307,NA,0.09989949,0.00017804,NA,0.10120577,0.09893621,NA,NA,NA,0.06324957,1.03388847,NA,1.43701688,NA,1.25154276,NA,NA,13.89215642,NA,NA,1.55264523,41.35247852,0.24920961,NA,NA,1.17467908,8.79991051,0.00008383,NA,0.03556954,22.24615630,NA,0.00000000,0.00010286,0.00000000,NA,NA,NA,97.24953074,3.00226842,0.26339155,NA,NA
12,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392605,NA
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65510760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.52147067,NA,NA,NA,NA
13,1,MS,roots,0.02956108,8.60494128,0.02057477,0.04153004,0.00547415,1.47753684,NA,0.11270929,0.00017846,NA,0.10103495,0.09638508,NA,NA,NA,0.06279921,1.02084258,NA,1.43126092,NA,1.24123621,NA,NA,13.97988010,NA,NA,1.61295447,43.02470639,0.24278358,NA,NA,1.23284168,8.83863910,0.00008277,NA,0.03565231,22.39634485,NA,0.00000000,0.00010302,0.00000000,NA,NA,NA,94.12294019,2.96438497,0.26021925,NA,NA
13,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392661,NA
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51995339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.16208412,NA,NA,NA,NA
14,1,MS,roots,0.02916224,8.85010939,0.02161303,0.04190899,0.00551276,1.47654240,NA,0.12548165,0.00017887,NA,0.10084776,0.09389127,NA,NA,NA,0.06233528,1.00706946,NA,1.42534468,NA,1.22991884,NA,NA,14.06776940,NA,NA,1.65656897,44.25054697,0.23650195,NA,NA,1.29156874,8.87701701,0.00008165,NA,0.03573396,22.53987213,NA,0.00000000,0.00010330,0.00000000,NA,NA,NA,91.09319454,2.92438974,0.25707432,NA,NA
14,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392706,NA
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38505675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.83619307,NA,NA,NA,NA
15,1,MS,roots,0.02874112,9.04701902,0.02263323,0.04222707,0.00554465,1.47576595,NA,0.13859611,0.00017927,NA,0.10064362,0.09145233,NA,NA,NA,0.06185450,0.99252679,NA,1.41926310,NA,1.21752133,NA,NA,14.15545132,NA,NA,1.69067599,45.23509511,0.23035850,NA,NA,1.35050953,8.91500799,0.00008048,NA,0.03581444,22.67695351,NA,0.00000000,0.00010345,0.00000000,NA,NA,NA,88.15604722,2.88215984,0.25395044,NA,NA
15,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392768,NA
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25079310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.49233550,NA,NA,NA,NA
16,1,MS,roots,0.02829735,9.18225106,0.02365158,0.04253341,0.00557625,1.47519615,NA,0.15168677,0.00017967,NA,0.10042145,0.08906359,NA,NA,NA,0.06135427,0.97720183,NA,1.41300416,NA,1.20395733,NA,NA,14.24242984,NA,NA,1.71340233,45.91125530,0.22434154,NA,NA,1.40919070,8.95256696,0.00007923,NA,0.03589367,22.80774859,NA,0.00000000,0.00010360,0.00000000,NA,NA,NA,85.30436237,2.83765830,0.25083931,NA,NA
16,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392803,NA
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11902671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.28653641,NA,NA,NA,NA
17,1,MS,roots,0.02783006,9.31358823,0.02466318,0.04281967,0.00560638,1.47482123,NA,0.16559747,0.00018005,NA,0.10018183,0.08672909,NA,NA,NA,0.06083482,0.96106470,NA,1.40657893,NA,1.18919216,NA,NA,14.32868757,NA,NA,1.73447248,46.56794113,0.21846119,NA,NA,1.46761837,8.98964556,0.00007792,NA,0.03597159,22.93242039,NA,0.00000000,0.00010373,0.00000000,NA,NA,NA,82.54228274,2.79079831,0.24774574,NA,NA
17,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392840,NA
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.01958231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.04390702,NA,NA,NA,NA
18,1,MS,roots,0.02734043,9.38253317,0.02696038,0.04529744,0.00592461,1.47473426,NA,0.17907480,0.00018044,NA,0.09992371,0.08445048,NA,NA,NA,0.06029538,0.94415625,NA,1.39997539,NA,1.17313569,NA,NA,14.41267577,NA,NA,1.75352585,46.91266584,0.21272160,NA,NA,1.52426614,9.02590588,0.00007655,NA,0.03604815,23.04893593,NA,0.00000000,0.00010918,0.00000000,NA,NA,NA,79.86315078,2.74169851,0.24466957,NA,NA
18,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392846,NA
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.04385328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.55919798,NA,NA,NA,NA
19,1,MS,roots,0.02682788,11.55596096,0.08224083,0.13700432,0.01795097,1.47915346,NA,0.22933626,0.00018081,NA,0.09969279,0.08267846,NA,NA,NA,0.05981974,0.92645619,NA,1.39383563,NA,1.15718166,NA,NA,14.45386726,NA,NA,2.18860879,57.77980478,0.20825807,NA,NA,1.53862975,9.04962267,0.00007512,NA,0.03612327,23.06871474,NA,0.00000000,0.00032994,0.00000000,NA,NA,NA,77.52958654,2.69030000,0.24219099,NA,NA
19,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03394127,NA
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02790427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.39581053,NA,NA,NA,NA
20,1,MS,roots,0.02635103,13.30725234,0.11110105,0.18577037,0.02442057,1.48599602,NA,0.27001764,0.00018118,NA,0.09947894,0.08120792,NA,NA,NA,0.05921810,0.90998877,NA,1.38801068,NA,1.14124490,NA,NA,14.47231817,NA,NA,2.48503486,66.53626169,0.20455396,NA,NA,1.53072963,9.06634250,0.00007378,NA,0.03619705,23.03558658,NA,0.00000000,0.00044803,0.00000000,NA,NA,NA,75.43879492,2.64248090,0.23990496,NA,NA
20,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03445565,NA
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09572881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169.69298826,NA,NA,NA,NA
21,1,MS,roots,0.02589749,17.58996721,0.20015462,0.35144576,0.04657932,1.50081141,NA,0.34418743,0.00018154,NA,0.09933463,0.08054667,NA,NA,NA,0.05867514,0.89432653,NA,1.38322621,NA,1.12718677,NA,NA,14.41233304,NA,NA,3.15934297,87.94983607,0.20288834,NA,NA,1.44484702,9.06036006,0.00007251,NA,0.03626956,22.83268897,NA,0.00000000,0.00085512,0.00000000,NA,NA,NA,73.84003394,2.59699993,0.23855644,NA,NA
21,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03472897,NA
22,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24206725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.07619311,NA,NA,NA,NA
22,1,MS,roots,0.02553522,24.18823557,0.24536104,0.45882300,0.06150897,1.52070163,NA,0.44283278,0.00018190,NA,0.09934438,0.08084665,NA,NA,NA,0.05811104,0.88181642,NA,1.38064018,NA,1.11879512,NA,NA,14.33113523,NA,NA,4.12354525,120.94117783,0.20364396,NA,NA,1.33811398,9.03903357,0.00007150,NA,0.03634106,22.52035304,NA,0.00000000,0.00113187,0.00000000,NA,NA,NA,73.08992896,2.56067233,0.23830207,NA,NA
22,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03567916,NA
